"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",21,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",4,8,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",15,15,1,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",26,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",27,4,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",29,9,0,0,0,0,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",12,9,0,0,0,0,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",49,25,4,3,6,10,24,4,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",30,12,0,0,0,0,23,13,14,4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",48,22,1,9,5,20,33,10,19,8,59,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",19,17,4,9,7,11,5,1,4,13,30,9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",4,0,0,0,0,0,11,7,6,7,8,10,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",9,14,0,0,0,0,5,0,6,2,20,18,17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",38,11,0,0,0,0,9,17,16,4,39,30,38,5,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",41,23,2,6,2,10,24,13,17,5,40,22,37,14,6,7,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",40,27,4,5,4,12,27,7,18,11,31,24,30,15,4,8,13,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",39,31,3,5,8,8,20,7,16,7,48,22,39,16,5,1,31,48,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",4,0,0,0,0,0,7,0,3,0,3,6,2,0,0,7,2,2,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",41,34,2,3,2,11,27,11,23,16,57,31,42,16,3,5,35,52,54,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",38,28,0,2,0,7,9,2,8,2,36,13,26,11,0,8,15,25,52,35,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",19,16,0,7,0,2,0,0,11,0,16,4,14,8,0,9,5,28,18,17,0,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",7,1,0,0,0,0,0,0,0,0,6,0,13,8,0,0,0,9,10,1,0,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",12,2,0,0,0,0,4,2,6,0,6,4,1,0,0,0,4,5,13,3,0,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",40,19,0,0,0,0,25,8,18,7,55,39,47,15,4,16,32,40,59,30,2,33,13,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",56,31,4,12,4,14,14,4,17,5,52,19,48,11,2,10,26,56,43,68,1,33,11,15,3,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",33,34,6,2,2,10,9,0,8,5,35,16,39,15,0,18,20,38,46,40,1,33,28,14,8,0,31,34,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",31,20,0,3,0,2,13,7,7,1,53,24,32,13,3,11,19,49,42,28,3,18,14,15,3,0,25,22,17,NA,NA,NA,NA,NA,NA,NA
"Tottenham",42,17,5,7,6,13,23,7,19,9,45,46,42,16,3,17,39,56,56,45,2,36,13,23,3,4,36,30,16,25,NA,NA,NA,NA,NA,NA
"Watford",21,7,0,0,0,0,31,15,19,0,24,15,21,4,10,2,34,27,40,35,1,22,4,0,0,7,18,6,13,13,21,NA,NA,NA,NA,NA
"West Brom",38,28,0,9,4,9,16,6,11,1,53,24,35,13,3,13,22,39,43,42,4,29,16,17,1,0,32,36,29,36,59,13,NA,NA,NA,NA
"West Ham",63,30,5,3,7,5,19,14,12,7,40,33,55,12,11,18,31,52,41,62,5,33,15,7,4,4,57,33,28,25,56,20,27,NA,NA,NA
"Wigan",13,13,4,12,4,4,0,0,0,0,6,0,17,18,0,0,0,21,12,13,0,7,6,11,5,0,5,6,7,8,14,0,18,12,NA,NA
"Wolves",16,10,2,7,4,7,7,1,5,8,24,12,21,14,5,0,9,22,21,24,0,11,7,8,0,2,9,10,8,13,17,8,12,8,9,NA
