"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",38,33,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",16,7,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",33,27,9,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",73,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",35,8,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",82,29,0,0,0,0,64,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",32,18,0,0,0,0,9,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",106,66,6,11,11,14,52,19,39,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",83,33,0,0,0,0,51,31,40,19,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",128,61,5,18,11,22,71,24,39,17,158,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",66,41,7,22,10,28,12,15,12,35,85,25,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",18,0,0,0,0,0,15,21,27,14,25,24,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",58,29,0,0,0,0,8,0,18,10,44,34,40,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",91,27,0,0,0,0,43,30,50,12,67,73,74,6,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",99,55,10,9,11,17,44,20,34,12,103,58,91,38,6,18,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",79,58,5,6,8,15,35,16,35,11,95,44,67,40,10,20,43,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",97,57,6,13,14,22,38,21,34,20,132,45,103,47,14,12,61,116,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",12,0,0,0,0,0,15,0,7,0,13,12,7,0,0,6,10,15,22,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",106,76,5,11,7,26,62,34,46,25,145,58,107,38,7,22,67,117,138,108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",75,65,0,12,0,10,13,8,23,6,94,36,66,33,0,10,35,69,90,66,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",46,30,0,10,0,13,0,0,15,0,36,10,26,13,0,11,19,49,54,44,0,40,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",25,18,0,0,0,0,0,0,0,0,14,0,21,16,0,0,0,26,27,10,0,8,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",9,8,0,0,0,0,10,8,6,0,15,6,5,0,0,0,10,16,18,11,0,6,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",76,36,0,0,0,0,57,31,51,12,105,81,91,29,20,34,91,107,112,91,6,66,31,15,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",108,57,14,23,10,33,27,14,35,14,127,57,106,26,6,20,48,104,104,113,8,75,25,40,5,0,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",114,65,13,14,9,28,30,0,30,6,119,59,100,34,0,55,45,113,112,90,8,78,52,42,12,0,69,77,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",89,51,0,7,0,8,36,5,31,7,125,55,108,35,7,31,45,113,125,102,8,62,44,31,8,0,74,59,44,NA,NA,NA,NA,NA,NA,NA
"Tottenham",100,60,7,12,13,21,46,24,38,16,125,79,99,49,10,34,90,136,165,80,8,82,49,30,7,14,95,60,49,47,NA,NA,NA,NA,NA,NA
"Watford",65,18,0,0,0,0,60,27,40,10,58,44,51,17,28,8,64,55,100,69,5,36,18,0,0,9,63,29,17,30,65,NA,NA,NA,NA,NA
