"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",25,23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",7,4,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",14,17,5,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",18,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",17,3,0,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",18,13,0,0,0,0,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",17,6,0,0,0,0,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",43,31,3,7,4,3,16,3,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",33,11,0,0,0,0,23,16,12,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",57,19,3,10,7,12,28,9,10,4,63,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",37,15,3,14,6,12,5,6,2,12,38,15,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",8,0,0,0,0,0,7,8,12,4,9,8,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",24,8,0,0,0,0,6,0,5,2,17,10,14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",31,6,0,0,0,0,11,7,15,3,25,25,24,3,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",43,22,6,4,7,8,11,8,10,4,47,19,34,22,1,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",37,28,3,4,6,7,8,6,6,7,31,16,27,16,4,6,19,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",45,21,1,7,7,11,14,7,12,5,54,8,48,27,2,6,18,43,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",4,0,0,0,0,0,3,0,2,0,3,4,3,0,0,2,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",41,32,2,6,4,16,18,8,9,4,55,16,51,24,1,8,29,46,63,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",39,30,0,7,0,6,5,2,8,4,38,13,24,18,0,0,9,34,39,34,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",27,13,0,9,0,7,0,0,3,0,17,3,12,6,0,4,5,27,21,27,0,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",17,7,0,0,0,0,0,0,0,0,5,0,11,8,0,0,0,15,20,5,0,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",3,0,0,0,0,0,2,2,0,0,4,4,2,0,0,0,2,4,5,5,0,4,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",37,12,0,0,0,0,20,8,17,7,39,19,27,9,6,7,40,41,37,34,2,24,12,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",44,25,10,16,5,14,11,6,15,3,57,14,48,11,3,6,18,50,53,45,2,28,10,20,4,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",49,34,7,5,4,17,12,0,7,1,52,19,41,20,0,21,12,49,47,43,3,32,18,19,5,0,32,36,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",43,18,0,2,0,3,15,2,6,1,43,20,48,17,2,7,16,46,55,48,1,28,26,16,6,0,28,24,20,NA,NA,NA,NA,NA,NA,NA
