"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",23,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",13,13,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",21,28,19,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",35,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",36,11,0,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",44,20,0,0,0,0,54,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",18,5,0,0,0,0,17,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",112,93,9,23,7,19,47,18,47,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",88,50,0,0,0,0,57,27,60,18,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",106,68,8,24,8,15,58,26,64,22,120,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",52,41,10,19,14,18,16,10,11,24,51,20,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",28,0,0,0,0,0,26,16,25,8,20,22,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",27,23,0,0,0,0,13,0,24,8,39,30,34,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",64,41,0,0,0,0,46,24,46,14,70,69,57,9,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",95,69,7,22,11,16,55,14,38,17,103,61,109,59,15,35,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",119,74,15,18,11,25,46,19,58,9,119,73,93,52,18,30,68,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",135,75,10,14,8,15,55,30,58,18,128,72,125,55,14,45,66,119,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",11,0,0,0,0,0,3,0,9,0,13,5,14,0,0,6,10,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",111,69,10,22,15,14,43,36,46,20,96,63,118,65,20,22,51,102,91,106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",42,60,0,9,0,6,20,11,9,8,50,38,52,33,0,8,17,45,48,54,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",31,30,0,10,0,9,0,0,12,0,45,11,39,27,0,10,8,28,23,27,0,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",8,8,0,0,0,0,0,0,0,0,8,0,11,6,0,0,0,9,6,10,0,6,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",10,10,0,0,0,0,10,3,8,0,8,16,11,0,0,0,11,8,13,13,0,10,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",83,50,0,0,0,0,47,24,43,24,105,77,90,40,24,26,63,72,71,91,14,74,38,19,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",89,74,6,18,12,18,47,6,32,11,93,62,103,45,18,30,36,84,81,86,16,89,39,39,7,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",66,54,13,24,6,14,18,0,26,10,82,57,71,38,0,33,31,80,58,81,11,87,37,29,8,0,44,77,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",54,51,0,8,0,9,39,13,31,7,84,50,89,34,12,26,23,59,62,63,9,56,47,27,8,0,60,69,60,NA,NA,NA,NA,NA,NA,NA
"Tottenham",122,64,5,16,5,23,42,22,47,18,123,84,122,46,16,29,67,100,121,103,8,74,37,31,9,6,72,93,59,80,NA,NA,NA,NA,NA,NA
"Watford",63,30,0,0,0,0,72,32,58,7,64,81,72,12,21,13,59,47,44,57,15,59,22,0,0,7,65,44,23,33,60,NA,NA,NA,NA,NA
