"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",12,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",6,5,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",18,21,8,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",24,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",14,2,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",14,5,0,0,0,0,26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",7,3,0,0,0,0,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",74,56,7,17,15,23,26,22,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",25,20,0,0,0,0,26,15,23,10,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",44,52,11,15,16,16,27,12,30,14,56,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",30,37,7,19,11,16,1,7,12,7,32,11,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",9,0,0,0,0,0,5,8,3,1,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",7,5,0,0,0,0,3,0,4,5,13,10,12,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",40,16,0,0,0,0,20,9,23,7,18,23,24,8,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",76,52,13,23,10,16,32,26,34,14,74,44,79,41,15,22,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",73,57,11,27,4,20,38,21,36,20,63,43,69,46,16,18,46,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",62,55,9,24,11,17,32,20,40,15,49,39,69,59,17,19,36,43,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",5,0,0,0,0,0,3,0,5,0,1,4,3,0,0,4,1,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",26,45,14,11,13,10,22,12,15,12,51,27,51,35,15,9,14,35,42,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",22,26,0,6,0,9,9,1,2,10,17,13,25,20,0,4,8,21,21,21,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",17,25,0,6,0,7,0,0,6,0,13,3,17,17,0,6,6,18,16,12,0,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",5,4,0,0,0,0,0,0,0,0,2,0,4,9,0,0,0,5,7,7,0,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",2,3,0,0,0,0,6,3,6,0,4,3,0,0,0,0,3,2,1,8,0,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",38,38,0,0,0,0,25,14,25,14,30,32,41,16,9,13,31,32,34,44,3,43,21,18,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",37,23,12,16,5,13,13,3,11,2,24,20,37,25,6,9,22,33,30,31,8,27,16,15,10,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",26,24,2,19,16,11,10,0,8,7,33,15,39,24,0,10,10,20,24,31,5,29,20,21,11,0,20,38,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",25,26,0,8,0,12,10,2,19,6,27,23,34,26,3,9,13,41,28,34,3,40,29,23,16,0,22,40,39,NA,NA,NA,NA,NA,NA,NA
"Tottenham",72,51,16,20,11,23,40,18,30,13,63,35,61,40,12,18,28,58,65,76,5,63,38,32,20,5,45,78,82,75,NA,NA,NA,NA,NA,NA
"Watford",19,12,0,0,0,0,18,8,20,8,18,17,20,7,9,0,17,17,14,21,5,23,11,0,0,2,12,6,16,17,10,NA,NA,NA,NA,NA
"West Brom",33,29,10,17,11,18,12,4,15,6,39,20,37,27,3,11,17,47,32,37,2,37,28,24,4,0,20,46,40,36,34,11,NA,NA,NA,NA
"West Ham",35,27,9,15,4,10,22,14,33,15,40,31,30,36,8,15,23,45,19,32,2,28,30,16,12,4,39,41,35,37,53,26,37,NA,NA,NA
"Wigan",14,20,13,18,6,18,0,0,0,0,23,0,16,23,0,0,0,29,11,15,0,22,17,19,11,0,3,24,25,19,13,0,16,23,NA,NA
"Wolves",17,26,9,12,11,14,5,6,9,6,13,6,19,16,3,0,10,13,20,12,0,24,15,6,0,3,7,12,18,13,22,3,18,21,16,NA
