"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Brighton","Burnley","Cardiff","Chelsea","Crystal Palace","Everton","Fulham","Huddersfield","Hull","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves"
"Arsenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackburn",3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackpool",2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolton",4,6,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bournemouth",11,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brighton",7,3,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnley",10,4,0,0,0,0,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardiff",3,0,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea",16,9,0,2,1,1,7,2,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystal Palace",5,7,0,0,0,0,16,5,6,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everton",13,10,1,4,0,1,13,2,5,1,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fulham",6,4,1,5,2,2,2,2,2,1,9,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huddersfield",4,0,0,0,0,0,3,0,2,0,2,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hull",3,3,0,0,0,0,0,0,2,1,4,5,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leicester",11,5,0,0,0,0,8,4,4,0,7,13,6,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liverpool",11,6,1,3,2,2,5,1,6,2,15,7,14,2,0,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man City",19,5,2,2,0,3,4,1,13,2,22,8,16,3,0,4,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Man United",24,10,0,2,2,0,7,3,9,3,24,8,15,2,3,4,7,16,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middlesbrough",2,0,0,0,0,0,1,0,0,0,2,1,2,0,0,1,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newcastle",14,11,1,3,2,1,7,4,8,1,15,10,17,9,3,5,7,20,20,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norwich",11,7,0,2,0,0,4,2,0,1,6,7,4,5,0,1,1,9,12,8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QPR",9,2,0,3,0,1,0,0,1,0,4,2,5,2,0,1,3,4,7,4,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reading",1,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sheffield United",4,2,0,0,0,0,2,0,1,0,1,3,1,0,0,0,1,1,4,1,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southampton",12,7,0,0,0,0,9,6,3,3,22,7,10,4,2,3,6,10,13,16,4,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stoke",11,8,0,2,0,1,4,0,7,2,20,14,16,6,1,4,6,13,9,11,1,9,6,8,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland",17,12,3,3,2,2,4,0,5,5,17,7,7,3,0,6,8,11,5,12,1,10,5,5,2,0,6,11,NA,NA,NA,NA,NA,NA,NA,NA
"Swansea",13,8,0,0,0,3,9,2,6,1,15,8,12,4,1,4,4,8,5,8,2,6,5,4,1,0,5,14,9,NA,NA,NA,NA,NA,NA,NA
"Tottenham",26,7,0,2,3,1,3,6,3,3,29,11,19,3,3,6,12,9,23,14,0,13,4,0,0,2,7,14,6,7,NA,NA,NA,NA,NA,NA
"Watford",14,5,0,0,0,0,18,2,8,0,13,17,11,3,3,1,12,4,6,11,3,6,5,0,0,0,11,10,2,5,15,NA,NA,NA,NA,NA
"West Brom",13,11,1,2,1,4,7,0,2,1,17,8,13,3,1,3,5,15,18,11,1,0,3,7,1,0,12,6,11,12,20,5,NA,NA,NA,NA
"West Ham",16,5,3,3,0,2,13,2,7,1,17,14,10,7,1,3,8,18,14,11,2,10,3,3,2,2,10,13,6,13,21,6,14,NA,NA,NA
"Wigan",5,4,3,3,1,4,0,0,0,0,3,0,6,6,0,0,0,3,5,2,0,5,3,2,2,0,0,4,8,4,7,0,4,4,NA,NA
"Wolves",8,6,2,4,1,2,4,1,2,1,8,6,0,5,1,0,5,1,2,6,0,9,4,2,0,1,6,2,4,2,8,3,4,5,3,NA
