"Season","Date","Referee","HomeTeam","AwayTeam","FullTime","Halftime","HomeGoals","HomeGoalsHalftime","HomeShots","HomeShotsOnTarget","HomeCorners","HomeFouls","HomeYellowCards","HomeRedCards","AwayGoals","AwayGoalsHalftime","AwayShots","AwayShotsOnTarget","AwayCorners","AwayFouls","AwayYellowCards","AwayRedCards"
"2010/11",2010-08-14,"M Dean","Aston Villa","West Ham","HomeWin","HomeWin",3,2,23,11,16,15,1,0,0,0,12,2,7,15,2,0
"2010/11",2010-08-14,"P Dowd","Blackburn","Everton","HomeWin","HomeWin",1,1,7,2,1,19,2,0,0,0,17,12,3,14,1,0
"2010/11",2010-08-14,"S Attwell","Bolton","Fulham","Draw","Draw",0,0,13,9,4,12,1,0,0,0,12,7,8,13,3,0
"2010/11",2010-08-14,"M Clattenburg","Chelsea","West Brom","HomeWin","HomeWin",6,2,18,13,3,10,1,0,0,0,10,4,1,10,0,0
"2010/11",2010-08-14,"A Taylor","Sunderland","Birmingham","Draw","HomeWin",2,1,6,2,3,13,3,1,2,0,13,7,6,10,3,0
"2010/11",2010-08-14,"A Marriner","Tottenham","Man City","Draw","Draw",0,0,22,18,10,13,0,0,0,0,11,7,3,16,2,0
"2010/11",2010-08-14,"M Halsey","Wigan","Blackpool","AwayWin","AwayWin",0,0,11,6,6,8,1,0,4,3,9,7,4,11,1,0
"2010/11",2010-08-14,"L Probert","Wolves","Stoke","HomeWin","HomeWin",2,2,13,7,5,17,0,0,1,0,10,6,5,13,2,0
"2010/11",2010-08-15,"M Atkinson","Liverpool","Arsenal","Draw","Draw",1,0,7,4,9,13,1,1,1,0,14,7,11,15,3,1
"2010/11",2010-08-16,"C Foy","Man United","Newcastle","HomeWin","HomeWin",3,2,18,10,5,9,2,0,0,0,7,3,3,5,2,0
"2010/11",2010-08-21,"M Jones","Arsenal","Blackpool","HomeWin","HomeWin",6,3,26,16,8,9,0,0,0,0,3,1,2,3,0,1
"2010/11",2010-08-21,"M Oliver","Birmingham","Blackburn","HomeWin","Draw",2,0,10,7,4,13,2,0,1,0,7,2,12,14,3,0
"2010/11",2010-08-21,"L Mason","Everton","Wolves","Draw","HomeWin",1,1,14,6,3,18,1,0,1,0,9,4,3,15,2,0
"2010/11",2010-08-21,"C Foy","Stoke","Tottenham","AwayWin","AwayWin",1,1,15,10,6,15,3,0,2,2,7,6,2,4,1,0
"2010/11",2010-08-21,"K Friend","West Brom","Sunderland","HomeWin","Draw",1,0,11,5,4,16,2,0,0,0,10,4,6,12,2,0
"2010/11",2010-08-21,"A Marriner","West Ham","Bolton","AwayWin","Draw",1,0,17,10,8,11,2,0,3,0,12,8,5,18,4,0
"2010/11",2010-08-21,"M Dean","Wigan","Chelsea","AwayWin","AwayWin",0,0,17,12,0,12,1,0,6,1,10,8,0,7,2,0
"2010/11",2010-08-22,"P Walton","Fulham","Man United","Draw","AwayWin",2,0,16,8,5,7,2,0,2,1,14,7,11,6,2,0
"2010/11",2010-08-22,"M Atkinson","Newcastle","Aston Villa","HomeWin","HomeWin",6,3,20,14,10,15,3,0,0,0,3,1,2,12,1,0
"2010/11",2010-08-23,"P Dowd","Man City","Liverpool","HomeWin","HomeWin",3,1,8,3,5,13,1,0,0,0,13,7,4,12,1,0
"2010/11",2010-08-28,"C Foy","Blackburn","Arsenal","AwayWin","Draw",1,1,15,7,4,9,1,0,2,1,14,9,8,7,0,0
"2010/11",2010-08-28,"M Oliver","Blackpool","Fulham","Draw","AwayWin",2,0,14,5,4,13,1,0,2,1,12,7,5,16,0,0
"2010/11",2010-08-28,"M Atkinson","Chelsea","Stoke","HomeWin","HomeWin",2,1,15,6,6,5,0,0,0,0,9,3,1,10,2,0
"2010/11",2010-08-28,"M Clattenburg","Man United","West Ham","HomeWin","HomeWin",3,1,18,11,9,6,1,0,0,0,7,2,3,11,2,0
"2010/11",2010-08-28,"P Dowd","Tottenham","Wigan","AwayWin","Draw",0,0,12,7,16,10,3,0,1,0,13,5,7,11,2,0
"2010/11",2010-08-28,"S Attwell","Wolves","Newcastle","Draw","HomeWin",1,1,5,2,5,20,7,0,1,0,11,6,3,17,4,0
"2010/11",2010-08-29,"M Jones","Aston Villa","Everton","HomeWin","HomeWin",1,1,12,6,4,19,4,0,0,0,15,9,16,10,0,0
"2010/11",2010-08-29,"K Friend","Bolton","Birmingham","Draw","AwayWin",2,0,11,8,6,19,2,1,2,1,9,5,1,17,3,0
"2010/11",2010-08-29,"L Probert","Liverpool","West Brom","HomeWin","Draw",1,0,11,7,7,9,0,0,0,0,14,5,6,8,0,1
"2010/11",2010-08-29,"M Dean","Sunderland","Man City","HomeWin","Draw",1,0,12,4,3,5,0,0,0,0,9,7,7,9,3,0
"2010/11",2010-09-11,"S Attwell","Arsenal","Bolton","HomeWin","Draw",4,1,23,14,9,11,2,0,1,1,7,6,6,11,2,1
"2010/11",2010-09-11,"M Atkinson","Everton","Man United","Draw","Draw",3,1,23,14,7,11,1,0,3,1,13,8,5,18,1,0
"2010/11",2010-09-11,"P Dowd","Fulham","Wolves","HomeWin","AwayWin",2,0,13,6,6,9,3,0,1,1,4,2,6,17,6,1
"2010/11",2010-09-11,"M Clattenburg","Man City","Blackburn","Draw","AwayWin",1,0,20,14,14,12,2,0,1,1,4,2,2,10,1,0
"2010/11",2010-09-11,"L Mason","Newcastle","Blackpool","AwayWin","AwayWin",0,0,16,13,3,15,2,0,2,1,7,4,2,14,3,0
"2010/11",2010-09-11,"H Webb","West Brom","Tottenham","Draw","Draw",1,1,15,8,9,12,2,0,1,1,16,9,4,9,1,0
"2010/11",2010-09-11,"C Foy","West Ham","Chelsea","AwayWin","AwayWin",1,0,13,7,1,13,2,0,3,2,17,9,5,10,2,0
"2010/11",2010-09-11,"A Marriner","Wigan","Sunderland","Draw","Draw",1,0,17,4,5,19,4,0,1,0,4,2,1,11,2,1
"2010/11",2010-09-12,"M Halsey","Birmingham","Liverpool","Draw","Draw",0,0,15,3,4,8,1,0,0,0,14,8,3,9,0,0
"2010/11",2010-09-13,"L Probert","Stoke","Aston Villa","HomeWin","AwayWin",2,0,20,12,8,11,1,0,1,1,10,6,7,14,2,0
"2010/11",2010-09-18,"M Dean","Aston Villa","Bolton","Draw","Draw",1,1,13,6,8,15,1,0,1,1,13,7,4,8,2,0
"2010/11",2010-09-18,"A Taylor","Blackburn","Fulham","Draw","HomeWin",1,1,9,5,3,15,0,0,1,0,9,4,3,10,1,0
