"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","AwayD","HomeL","AwayL","HomeW","AwayL","HomeW","AwayL","HomeW","HomeW","AwayW","HomeW","AwayW","HomeD","AwayW","HomeW","AwayL","AwayW","HomeD","HomeW","AwayL","AwayL","HomeL","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","HomeL","HomeD","AwayD","HomeD","AwayW","1","0","0","3","0","3","0","3","3","3","3","3","1","3","3","0","3","1","3","0","0","0","1","3","3","3","3","3","3","3","0","3","3","0","1","1","1","3"
"Aston Villa","AwayD","HomeW","HomeD","AwayD","HomeD","AwayD","HomeW","AwayL","HomeL","AwayD","HomeW","AwayL","AwayD","HomeL","AwayW","HomeL","HomeL","AwayD","AwayW","HomeL","HomeD","AwayW","HomeD","AwayL","HomeL","AwayD","AwayD","HomeW","AwayL","HomeL","AwayD","HomeD","AwayL","HomeD","HomeL","AwayD","HomeD","AwayL","1","3","1","1","1","1","3","0","0","1","3","0","1","0","3","0","0","1","3","0","1","3","1","0","0","1","1","3","0","0","1","1","0","1","0","1","1","0"
"Blackburn","HomeL","AwayL","HomeL","AwayD","HomeW","AwayL","HomeL","AwayD","HomeL","AwayD","HomeL","AwayD","AwayL","HomeW","AwayL","HomeL","HomeL","AwayD","AwayW","HomeL","HomeW","AwayD","HomeL","AwayL","HomeW","AwayL","HomeD","AwayW","HomeW","AwayL","HomeL","AwayL","HomeL","AwayL","HomeW","AwayL","HomeL","AwayL","0","0","0","1","3","0","0","1","0","1","0","1","0","3","0","0","0","1","3","0","3","1","0","0","3","0","1","3","3","0","0","0","0","0","3","0","0","0"
"Bolton","AwayW","HomeL","AwayL","HomeL","HomeL","AwayL","HomeL","AwayW","HomeL","AwayL","HomeW","AwayL","HomeL","AwayL","HomeL","AwayL","AwayW","HomeL","HomeD","AwayW","AwayL","HomeW","HomeD","AwayL","HomeL","AwayL","AwayL","HomeW","HomeW","AwayW","HomeL","AwayL","HomeD","AwayW","AwayD","HomeL","HomeD","AwayD","3","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","3","0","1","3","0","3","1","0","0","0","0","3","3","3","0","0","1","3","1","0","1","1"
"Chelsea","AwayD","HomeW","HomeW","AwayW","AwayL","HomeW","AwayW","HomeW","AwayL","HomeL","AwayW","HomeL","HomeW","AwayW","HomeW","AwayD","AwayD","HomeD","HomeL","AwayW","HomeW","AwayD","AwayD","HomeD","AwayL","HomeW","AwayL","HomeW","AwayL","HomeD","AwayW","HomeW","AwayD","AwayD","HomeW","HomeL","AwayL","HomeW","1","3","3","3","0","3","3","3","0","0","3","0","3","3","3","1","1","1","0","3","3","1","1","1","0","3","0","3","0","1","3","3","1","1","3","0","0","3"
"Everton","HomeL","AwayW","HomeD","HomeW","AwayL","HomeL","AwayL","AwayW","HomeL","AwayL","HomeW","AwayW","HomeL","AwayL","HomeD","HomeW","AwayD","AwayW","HomeL","AwayL","AwayD","HomeD","HomeW","AwayD","HomeW","AwayD","HomeW","AwayL","HomeL","AwayW","HomeW","AwayD","HomeW","AwayD","HomeW","AwayD","AwayD","HomeW","0","3","1","3","0","0","0","3","0","0","3","3","0","0","1","3","1","3","0","0","1","1","3","1","3","1","3","0","0","3","3","1","3","1","3","1","1","3"
"Fulham","HomeD","AwayL","AwayL","HomeD","HomeD","AwayD","HomeW","AwayL","HomeL","AwayW","HomeL","AwayD","AwayD","HomeW","AwayL","HomeW","HomeL","AwayD","AwayD","HomeW","AwayL","HomeW","HomeD","AwayL","HomeW","AwayW","HomeW","AwayL","HomeL","AwayL","HomeW","AwayW","HomeD","HomeW","AwayL","AwayW","HomeW","AwayL","1","0","0","1","1","1","3","0","0","3","0","1","1","3","0","3","0","1","1","3","0","3","1","0","3","3","3","0","0","0","3","3","1","3","0","3","3","0"
"Liverpool","HomeD","AwayW","HomeW","AwayL","AwayL","HomeW","AwayW","HomeD","HomeD","AwayW","HomeD","AwayW","HomeD","AwayL","HomeW","AwayW","AwayD","HomeD","HomeW","AwayL","HomeD","AwayL","AwayW","HomeD","AwayL","HomeL","AwayL","HomeW","AwayL","HomeL","AwayL","HomeD","AwayW","HomeL","AwayW","HomeL","HomeW","AwayL","1","3","3","0","0","3","3","1","1","3","1","3","1","0","3","3","1","1","3","0","1","0","3","1","0","0","0","3","0","0","0","1","3","0","3","0","3","0"
"Man City","HomeW","AwayW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayL","HomeW","HomeW","AwayD","AwayL","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","HomeW","HomeW","AwayL","HomeW","AwayD","HomeD","AwayL","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","3","3","3","3","1","3","3","3","3","3","3","3","1","3","0","3","3","1","0","3","3","3","0","3","3","3","3","0","3","1","1","0","3","3","3","3","3","3"
"Man United","AwayW","HomeW","HomeW","AwayW","HomeW","AwayD","HomeW","AwayD","HomeL","AwayW","HomeW","AwayW","HomeD","AwayW","HomeW","AwayW","AwayW","HomeW","HomeL","AwayL","HomeW","AwayW","HomeW","AwayD","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","AwayW","HomeW","AwayL","HomeW","HomeD","AwayL","HomeW","AwayW","3","3","3","3","3","1","3","1","0","3","3","3","1","3","3","3","3","3","0","0","3","3","3","1","3","3","3","3","3","3","3","3","0","3","1","0","3","3"
