"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",1,3,1,3,3,2,1,4,2,2,0,2,3,2,1,3,0,3,1,2,2,2,2,2,1,0,4,0,1,0,2,1,0,3,3,3,1,2,3,1,0,1,1,1,1,1,0,0,1,0,0,0,1,6,0,1,0,0,1,0,2,0,5,0,1,1,0,6,2,1,3,1,0,0,0,0,16,18,12,14,16,10,14,20,10,12,10,9,15,20,11,12,7,29,11,28,8,22,7,11,11,17,12,10,7,12,13,10,15,14,12,20,15,14,4,7,5,6,8,4,5,11,4,7,2,4,6,7,5,6,2,8,5,6,4,8,4,6,6,5,9,2,3,5,4,3,5,8,6,8,4,8
"Aston Villa",3,1,0,1,1,3,0,0,0,0,2,2,0,3,0,0,1,0,1,1,1,2,4,1,0,0,0,4,1,1,1,1,0,0,1,3,0,0,1,2,1,2,0,2,0,2,2,0,0,2,0,2,2,3,2,1,1,0,2,2,3,2,2,0,1,1,0,4,4,2,1,0,4,1,4,3,9,7,17,10,16,8,18,15,14,8,17,15,13,6,10,17,14,10,7,13,11,12,10,4,16,18,10,10,13,12,10,12,7,6,11,15,5,4,4,3,3,1,4,4,4,2,3,2,6,7,4,3,2,6,4,4,3,5,5,3,6,1,1,6,2,4,4,3,1,6,4,1,3,9,0,1
"Cardiff",0,3,0,1,0,2,1,1,0,1,0,2,0,0,0,1,1,0,2,0,0,2,0,2,0,0,0,0,3,1,3,3,0,1,1,0,0,1,2,2,0,1,1,1,2,4,0,0,2,2,3,0,2,0,3,3,2,2,2,4,2,1,3,0,4,1,1,2,6,3,3,0,1,4,3,2,12,9,4,10,6,22,8,13,6,9,8,14,10,14,10,11,10,9,16,8,19,7,7,14,7,12,23,8,19,10,9,11,13,6,13,6,16,10,1,6,1,2,0,4,2,3,4,3,2,4,4,3,2,3,3,0,7,2,7,6,1,5,1,3,5,2,9,3,3,5,4,4,4,1,3,4
"Chelsea",2,2,0,0,2,1,3,4,2,0,2,3,3,4,2,2,0,1,2,3,2,3,0,1,3,1,1,3,4,0,6,0,3,1,1,2,0,2,0,1,0,1,0,1,1,1,1,2,2,0,1,3,3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,22,15,8,22,26,11,22,20,12,13,17,20,16,19,15,16,13,19,11,11,14,13,39,18,18,15,25,17,12,15,21,21,18,26,31,11,23,28,5,3,4,5,10,5,8,7,4,2,7,8,7,5,6,7,4,7,5,5,5,6,9,6,8,4,8,8,4,2,11,2,8,3,15,4,4,7
"Crystal Palace",0,1,3,0,0,0,1,1,0,0,0,1,0,1,2,1,0,1,0,1,0,1,1,0,3,0,1,0,0,0,1,3,1,3,1,0,3,2,1,2,1,2,2,2,3,4,2,2,0,0,1,0,0,2,3,0,1,1,2,0,0,2,1,2,1,1,0,1,0,0,0,2,0,2,3,2,5,14,17,4,9,8,11,14,13,12,9,9,13,10,19,10,9,12,9,13,14,12,13,10,10,15,7,6,12,8,14,13,14,7,11,3,10,15,3,5,6,0,1,0,2,4,4,4,2,2,3,5,5,5,4,7,4,4,2,6,3,2,6,6,4,1,5,1,4,8,4,4,3,2,6,6
"Everton",2,0,0,1,3,3,1,2,2,0,0,3,4,1,1,4,2,0,2,1,2,1,0,2,0,0,1,2,3,3,3,3,1,2,2,0,2,2,2,0,0,0,2,2,3,1,0,0,0,3,0,0,1,1,1,1,1,1,0,1,4,1,1,1,0,1,2,0,1,0,0,3,0,2,3,0,19,22,13,11,10,18,6,14,15,8,15,18,22,15,12,22,14,26,9,16,23,13,18,13,11,8,22,19,9,8,14,14,20,17,17,9,9,11,6,8,3,5,4,7,4,6,4,1,2,12,12,4,4,7,6,9,4,4,5,4,4,6,3,2,3,6,6,6,7,8,3,5,5,2,4,4
"Fulham",1,1,0,1,0,1,1,4,0,1,0,1,0,1,2,1,2,2,0,2,1,0,0,0,2,2,1,1,1,1,0,1,2,1,1,2,1,2,0,3,1,1,2,2,0,1,2,3,4,2,3,2,0,4,4,1,6,1,4,2,2,3,2,3,1,3,3,0,5,3,1,0,3,2,4,2,5,16,3,12,4,9,9,9,1,15,4,9,10,16,22,16,12,15,5,30,17,8,15,8,6,10,7,7,14,12,6,23,16,14,11,10,10,15,1,7,2,2,1,5,2,6,0,6,1,3,0,6,10,3,5,7,2,11,5,2,4,4,3,3,3,3,6,3,0,8,8,3,4,3,2,5
"Hull",0,1,0,1,3,1,0,1,0,1,1,0,3,0,1,0,1,2,6,0,0,0,0,1,2,0,4,1,0,2,1,0,1,0,2,1,1,0,2,0,2,1,2,0,0,2,1,0,4,1,1,2,1,0,1,3,0,2,2,1,1,1,0,1,0,4,2,0,2,1,0,3,2,3,3,2,7,6,7,18,12,9,6,9,10,25,10,15,12,7,9,13,6,17,21,10,10,10,13,9,25,12,12,13,15,12,10,5,8,13,8,7,2,12,2,1,2,5,5,2,1,1,4,2,2,2,4,2,2,4,3,5,13,0,2,0,4,4,9,4,6,3,5,5,3,3,4,4,4,2,2,3
"Liverpool",1,1,1,2,0,3,3,2,4,0,4,3,1,5,4,5,3,1,1,2,5,2,4,1,5,3,4,3,3,6,2,4,2,3,3,0,3,2,0,0,0,2,1,1,1,2,1,2,0,3,3,1,1,0,1,2,2,0,3,2,0,1,1,2,3,0,0,3,1,0,1,2,2,2,3,1,26,5,10,12,10,15,13,23,18,12,32,11,9,28,32,21,27,12,8,17,13,14,20,12,22,21,21,12,17,19,21,11,17,10,14,26,26,13,11,1,5,5,5,6,7,7,7,4,10,5,4,12,9,10,7,5,4,6,9,6,9,3,12,7,10,5,7,9,7,5,8,4,6,8,9,5
"Man City",4,2,2,0,4,2,3,3,1,7,0,6,3,3,1,6,4,2,1,3,2,4,5,0,0,1,2,5,3,1,4,2,2,3,2,3,4,2,0,3,0,0,1,3,1,1,2,0,1,0,0,2,1,3,2,1,0,2,0,2,1,1,0,0,0,0,0,1,1,3,2,1,0,2,0,0,20,16,12,10,18,20,12,16,15,27,24,15,22,15,13,22,17,20,23,14,14,24,24,25,15,19,8,22,13,15,15,13,16,19,16,18,18,28,11,5,6,3,5,7,6,9,6,9,4,10,7,5,3,7,10,6,4,4,6,9,10,3,2,7,3,12,4,4,8,5,4,6,6,6,9,7
